"","Name","Date","state","locality","site","strata","Latitude","Longitude","yr","Image ID","BRY","CNCA","CNTR","CRB","MOB","MOG","SP","WPOT","SC","Unc","MAA","MAEC","MAEF","MAEN","MAF","MAG","MALA","MALCB","MAS"
"AMP51945","AMP51945.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","LOWTIDE",-45.07072667,-66.424335,2023,3360259,0,0,0,0,2,0,0,0,0,0,13,0,0,7,78,0,0,0,0
"AMP51999","AMP51999.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","LOWTIDE",-45.07067167,-66.424045,2023,3360205,0,0,0,0,1,0,0,0,1,0,67,0,0,0,28,0,0,0,3
"AMP51952","AMP51952.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","LOWTIDE",-45.07074167,-66.42426,2023,3360252,0,0,0,0,6,0,0,0,18,0,15,0,0,4,57,0,0,0,0
"AMP51980","AMP51980.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","LOWTIDE",-45.07068833,-66.42409667,2023,3360224,0,0,0,0,2,0,0,0,2,0,59,0,0,1,36,0,0,0,0
"AMP51977","AMP51977.jpg",2023-05-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","LOWTIDE",-45.070695,-66.4241366666667,2023,4226855,0,0,0,0,11,0,0,0,24,0,29,0,0,4,32,0,0,0,0
"AMP51743","AMP51743.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","MIDTIDE",-45.07051667,-66.42419667,2023,3360472,0,0,0,1,13,0,0,0,2,0,0,0,0,0,79,0,0,0,5
"AMP51693","AMP51693.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","MIDTIDE",-45.07045667,-66.42415,2023,3360537,0,0,0,1,75,0,0,0,6,0,0,0,0,1,15,0,0,0,2
"AMP51705","AMP51705.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","MIDTIDE",-45.07044,-66.42406167,2023,3360522,0,0,0,4,18,0,0,0,5,0,0,0,0,2,71,0,0,0,0
"AMP51695","AMP51695.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","MIDTIDE",-45.070465,-66.42411833,2023,3360535,0,0,0,3,49,0,0,0,6,0,1,0,0,0,35,0,0,0,6
"AMP51740","AMP51740.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","MIDTIDE",-45.070525,-66.42417167,2023,3360476,0,0,0,6,75,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"AMP51660","AMP51660.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","HIGHTIDE",-45.07039167,-66.424385,2023,3360579,0,0,0,60,0,0,0,0,0,0,0,0,0,17,22,0,0,0,1
"AMP51668","AMP51668.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","HIGHTIDE",-45.070395,-66.424385,2023,3360570,0,0,0,53,0,0,0,0,2,0,0,0,0,16,28,0,0,0,1
"AMP51684","AMP51684.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","HIGHTIDE",-45.07037667,-66.42439,2023,3360548,0,0,0,51,0,0,0,0,0,0,0,0,0,43,6,0,0,0,0
"AMP51628","AMP51628.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","HIGHTIDE",-45.07024167,-66.424335,2023,3360617,0,0,0,66,1,0,0,0,2,0,0,0,0,31,0,0,0,0,0
"AMP51657","AMP51657.jpg",2023-04-15,"CHUBUT","PIMCPA","PUNTA RESTINGA","HIGHTIDE",-45.07036667,-66.424405,2023,3360582,0,0,0,44,1,0,0,0,3,0,0,0,0,14,37,0,0,0,1
